name,location,phone,image,facilities,doctors
Mughda Medical College Hospital,Dhaka,01911445566,https://images.unsplash.com/photo-1629909613654-28e377c37b09?q=80&w=600,COVID Ward;Emergency;ICU;Blood Bank;Ambulance Service,Dr. Ali - Respiratory (Sun-Tue 11AM);Dr. Khan - General Physician (Daily 8AM)
Kurmitola General Hospital,Dhaka,01769011234,https://images.unsplash.com/photo-1579684389782-64d84b5e901a?q=80&w=600,24/7 Emergency;ICU;Modern Lab;Dental Clinic;Physiotherapy,Dr. Siddique - Medicine (Sat-Wed 9AM);Dr. Yasmin - Dental (Mon-Thu 2PM)
National Institute of Cardiovascular Diseases,Dhaka,01711889900,https://images.unsplash.com/photo-1516549655169-df83a0774514?q=80&w=600,Cardiac ICU;CCU;Cath Lab;24/7 Echo;Heart Surgery,Prof. Dutta - Cardiology (Sat-Mon 10AM);Dr. Azam - Cardiac Surgery (Sun-Wed 3PM)
National Institute of Neurosciences,Dhaka,01912998877,https://images.unsplash.com/photo-1632833239869-a37e31580662?q=80&w=600,Stroke Unit;Neurology ICU;Neuro Surgery;MRI;CT Scan,Dr. Alam - Neurology (Mon-Thu 9AM);Dr. Huda - Neuro Surgery (Sat-Wed 1PM)
National Institute of Diseases of the Chest and Hospital,Dhaka,01713001122,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=600,Chest Pain Unit;Asthma Clinic;TB Ward;ICU;Bronchoscopy,Dr. Haque - Pulmonology (Sun-Tue 10AM);Dr. Islam - Thoracic Surgery (Mon-Wed 4PM)
National Institute of Cancer Research & Hospital,Dhaka,01817556677,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?q=80&w=600,Chemotherapy;Radiotherapy;Cancer Screening;ICU;Palliative Care,Dr. Sen - Oncology (Sat-Wed 9AM);Dr. Karim - Onco-Surgery (Sun-Tue 2PM)
National Institute of Kidney Diseases & Urology,Dhaka,01913443322,https://images.unsplash.com/photo-1586773860418-d37222d8fce3?q=80&w=600,Dialysis;Kidney Transplant Unit;Lithotripsy;ICU;Urology Lab,Dr. Bhuiyan - Nephrology (Mon-Thu 11AM);Dr. Rashid - Urology (Sat-Wed 3PM)
BIRDEM General Hospital,Dhaka,01711556633,https://images.unsplash.com/photo-1629909613654-28e377c37b09?q=80&w=600,Diabetes Care;ICU;Modern Diagnostics;Endocrinology;24/7 Pharmacy,Prof. Latif - Diabetes Specialist (Sat-Mon 8AM);Dr. Shaha - Endocrine (Sun-Wed 4PM)
Bangabandhu Sheikh Mujib Medical University,Dhaka,01713445522,https://images.unsplash.com/photo-1579684389782-64d84b5e901a?q=80&w=600,Super Specialized OPD;ICU;Research Lab;Cabin Block;All Modules,Prof. Paul - Rheumatology (Sun-Tue 10AM);Dr. Zaman - Hematology (Mon-Thu 3PM)
Ibrahim Cardiac Hospital,Dhaka,01716334455,https://images.unsplash.com/photo-1516549655169-df83a0774514?q=80&w=600,Cardiac ICU;Cath Lab;Pacemaker Clinic;Vascular Surgery,Dr. Saied - Cardiology (Sat-Wed 9AM);Dr. Nasir - Vascular Clinic (Sun-Tue 4PM)
Holy Family Red Crescent Medical College Hospital,Dhaka,01819223344,https://images.unsplash.com/photo-1632833239869-a37e31580662?q=80&w=600,Maternity Unit;Blood Bank;NICU;Emergency;Ambulance,Dr. Gomez - Gynecology (Mon-Thu 10AM);Dr. Das - Pediatrics (Sat-Wed 5PM)
Labaid Specialized Hospital,Dhaka,01713335566,https://images.unsplash.com/photo-1586773860418-d37222d8fce3?q=80&w=600,Cardiac Care;Gastro Liver Center;ICU;MRI 3T;Premium Cabins,Dr. Sabrin - Gastroenterology (Daily 4PM-8PM);Dr. Uddin - Cardiology (Sat-Mon 11AM)
Ibn Sina Specialized Hospital,Dhaka,01712995544,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?q=80&w=600,Modular OT;ICU;CT Scan;Neurology Center;24/7 Pharmacy,Dr. Mahmud - Neuro Medicine (Sun-Wed 6PM);Dr. Farhana - Skin & VD (Mon-Thu 4PM)
Square Hospital,Dhaka,01713332444,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=600,Premium Emergency;ICU;NICU;Bone Marrow Transplant;Dialysis,Dr. Khan - Internal Medicine (Daily 10AM);Dr. Yasmin - Gynecology (Sat-Tue 5PM)
Evercare Hospital,Dhaka,01713047447,https://images.unsplash.com/photo-1629909613654-28e377c37b09?q=80&w=600,JCI Accredited;Emergency;Heart Center;Cancer Center;Neonatal ICU,Dr. Ahmed - Interventional Cardiology (Sat-Mon 11AM);Dr. Rahman - Oncology (Sun-Wed 3PM)
United Hospital,Dhaka,01914001234,https://images.unsplash.com/photo-1579684389782-64d84b5e901a?q=80&w=600,Cardiac Center;Renal Center;ICU;Emergency Trauma Unit;Helipad,Dr. Alam - Nephrology (Sun-Tue 9AM);Dr. Haque - General Surgery (Mon-Wed 5PM)
Asgar Ali Hospital,Dhaka,01787659922,https://images.unsplash.com/photo-1516549655169-df83a0774514?q=80&w=600,Emergency;ICU;NICU;Cardiac Cath Lab;Dialysis;Ambulance,Dr. Roy - Cardiology (Sat-Wed 5PM);Dr. Talukder - Gastromedicine (Mon-Thu 10AM)
Central Hospital,Dhaka,01712112233,https://images.unsplash.com/photo-1632833239869-a37e31580662?q=80&w=600,Maternity Care;NICU;Emergency;General Surgery;Pathology Lab,Dr. Jahan - Gynecology (Daily 6PM-9PM);Dr. Sikder - Urology (Sun-Tue 4PM)
Green Life Medical College Hospital,Dhaka,01713364455,https://images.unsplash.com/photo-1586773860418-d37222d8fce3?q=80&w=600,Joint Replacement Center;ICU;NICU;24/7 Emergency;CT Scan,Prof. Miah - Orthopedics (Sat-Mon 4PM);Dr. Sharmin - Pediatrics (Sun-Wed 10AM)
Popular Diagnostic & Hospital,Dhaka,01926677889,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?q=80&w=600,Advanced Imaging;Pathology;Emergency;Day Care Unit;Pharmacy,Dr. Guha - Endocrinology (Mon-Thu 5PM);Dr. Naser - ENT Specialist (Sat-Wed 7PM)
Anwer Khan Modern Medical College Hospital,Dhaka,01755633445,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=600,Cardiac Care;ICU;NICU;Modern Lab;24/7 Emergency Service,Dr. Chowdhury - Medicine (Sun-Tue 10AM);Dr. Begum - Obstetrician (Mon-Wed 4PM)
BRB Hospitals,Dhaka,01777765544,https://images.unsplash.com/photo-1629909613654-28e377c37b09?q=80&w=600,Gastro Liver Center;ICU;Dialysis Unit;Modular OT;Emergency,Dr. Tareq - Hepatology (Sat-Wed 6PM);Dr. Mazumder - Nephrology (Sun-Tue 11AM)
Universal Medical College Hospital,Dhaka,01841223344,https://images.unsplash.com/photo-1579684389782-64d84b5e901a?q=80&w=600,24/7 Trauma Care;ICU;NICU;Ambulance;Diagnostics,Dr. Joarder - Cardiology (Mon-Thu 5PM);Dr. Akter - Gynecology (Sat-Wed 10AM)
Metropolitan Hospital,Dhaka,01711334455,https://images.unsplash.com/photo-1516549655169-df83a0774514?q=80&w=600,General Medicine;Emergency;X-Ray;Diagnostic Lab;EGC Unit,Dr. Kabir - Medicine (Daily 9AM-1PM);Dr. Fatema - Pediatrics (Sun-Tue 5PM)
Japan Bangladesh Friendship Hospital,Dhaka,01711647877,https://images.unsplash.com/photo-1632833239869-a37e31580662?q=80&w=600,Pain Management;Laparoscopy;ICU;Emergency;Diagnostics Lab,Dr. Shaha - Pain Specialist (Sat-Mon 4PM);Dr. Hossain - Surgeon (Sun-Wed 10AM)
Bangladesh Eye Hospital,Dhaka,01911335577,https://images.unsplash.com/photo-1586773860418-d37222d8fce3?q=80&w=600,LASIK Center;Cataract Surgery;Glaucoma Clinic;Retina Specialist,Dr. Munir - Eye Surgeon (Mon-Thu 9AM);Dr. Farook - Retina Expert (Sat-Wed 2PM)
National Heart Foundation,Dhaka,01711442211,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?q=80&w=600,Cardiac Surgery;CCU;ICU;Rehabilitation Center;Cath Lab,Prof. Malik - Cardiology (Sat-Tue 10AM);Dr. Zaman - Heart Surgeon (Sun-Wed 4PM)
Chattogram Medical College Hospital,Chattogram,01711311223,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=600,24/7 Divisional Emergency;ICU;CCU;Burn Center;Blood Bank,Dr. Sen - Medicine (Daily 9AM-2PM);Dr. Barua - Surgery (Mon-Thu 3PM);Dr. Das - Gynecology (Sat-Wed 11AM)
Chattogram General Hospital,Chattogram,01819331122,https://images.unsplash.com/photo-1629909613654-28e377c37b09?q=80&w=600,General Wards;Emergency;X-Ray;Pathology;Maternity Wing,Dr. Nath - Pediatrician (Sun-Tue 10AM);Dr. Chowdhury - General Surgeon (Mon-Wed 4PM)
Chittagong Eye Infirmary & Training Complex,Chattogram,01711722334,https://images.unsplash.com/photo-1579684389782-64d84b5e901a?q=80&w=600,Advanced Eye Care;Cornea Transplant;LASIK;Pediatric Ophthalmology,Dr. Ahmed - Eye Specialist (Sat-Wed 9AM);Dr. Paul - Glaucoma Surgeon (Sun-Tue 3PM)
Evercare Hospital Chattogram,Chattogram,01314445566,https://images.unsplash.com/photo-1516549655169-df83a0774514?q=80&w=600,JCI Standard Emergency;ICU;NICU;Cardiac Cath Lab;Modern Diagnostics,Dr. Maruf - Cardiology (Sat-Mon 11AM);Dr. Zerin - Pediatric ICU (Sun-Wed 4PM)
Imperial Hospital Limited,Chattogram,01886556677,https://images.unsplash.com/photo-1632833239869-a37e31580662?q=80&w=600,International Standard;Neonatology;Modular OT;ICU;Cardiac Surgery,Dr. Prasad - Cardiac Surgeon (Mon-Thu 10AM);Dr. Chowdhury - Neuro Medicine (Sat-Wed 5PM)
Chevron Clinical Laboratory & Hospital,Chattogram,01711144556,https://images.unsplash.com/photo-1586773860418-d37222d8fce3?q=80&w=600,Advanced Diagnostics;CT Scan;MRI;Emergency;Specialist OPD,Dr. Sikder - Endocrinologist (Sun-Tue 6PM);Dr. Alam - ENT Expert (Mon-Thu 3PM)
Max Hospital & Diagnostic,Chattogram,01811443322,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?q=80&w=600,24/7 Trauma Care;ICU;NICU;Laparoscopic Surgery;Pharmacy,Dr. Dey - Orthopedics (Sat-Wed 5PM);Dr. Sultana - Gynecology (Sun-Tue 10AM)
Parkview Hospital,Chattogram,01977998877,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=600,Neuro ICU;Cardiac Center;Dialysis;24/7 Emergency;Ambulance,Dr. Minhaj - Urology (Mon-Thu 4PM);Dr. Rehana - General Medicine (Sat-Wed 11AM)
National Hospital Chittagong,Chattogram,01819313131,https://images.unsplash.com/photo-1629909613654-28e377c37b09?q=80&w=600,Emergency OPD;ICU;Pathology;X-Ray;Ultrasonography;Pharmacy,Dr. Barua - Gastromedicine (Sun-Tue 7PM);Dr. Guha - Skin Specialist (Mon-Wed 5PM)
Metro Diagnostic & Hospital,Chattogram,01711229988,https://images.unsplash.com/photo-1579684389782-64d84b5e901a?q=80&w=600,Diagnostic Lab;Emergency;Ambulance;General Medicine Clinic,Dr. Azad - General Physician (Daily 9AM-1PM);Dr. Parveen - Pediatrics (Sat-Tue 4PM)
Bishwanath Hospital,Chattogram,01812345678,https://images.unsplash.com/photo-1516549655169-df83a0774514?q=80&w=600,General Surgery;Maternity Ward;24/7 Emergency;Pharmacy,Dr. Ali - General Surgeon (Sat-Mon 5PM);Dr. Banu - Gynae (Sun-Wed 10AM)
CSCR Hospital,Chattogram,01711762445,https://images.unsplash.com/photo-1632833239869-a37e31580662?q=80&w=600,ICU;Maternity Block;Advanced Diagnostic;Emergency Service,Dr. Das - Nephrology (Mon-Thu 6PM);Dr. Karim - Chest Specialist (Sat-Wed 4PM)
Chattogram International Medical College Hospital,Chattogram,01847060000,https://images.unsplash.com/photo-1586773860418-d37222d8fce3?q=80&w=600,Dental Unit;General Hospital Wards;ICU;NICU;Emergency,Dr. Hoque - Oral Surgery (Sun-Tue 9AM);Dr. Yasmin - Pediatrics (Mon-Wed 3PM)
Southern Medical College Hospital,Chattogram,01819887766,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?q=80&w=600,Emergency Care;Outdoor Unit;Physiotherapy Center;X-Ray Lab,Dr. Monir - Orthopedics (Sat-Wed 10AM);Dr. Akter - Gynecology (Sun-Tue 4PM)
Maa Shishu O General Hospital,Chattogram,01711885522,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=600,Specialized Pediatric ICU;Maternity ICU;Blood Bank;Emergency,Dr. Chowdhury - Neonatology (Daily 8AM-2PM);Dr. Sen - Gynae (Mon-Thu 5PM)
Chittagong Medical Center,Chattogram,01819323232,https://images.unsplash.com/photo-1629909613654-28e377c37b09?q=80&w=600,24/7 General Emergency;Cabin Block;X-Ray;Diagnostic Pathology,Dr. Paul - Medicine Specialist (Sat-Tue 6PM);Dr. Nath - Skin & VD (Sun-Wed 3PM)
Asian Hospital,Chattogram,01712554433,https://images.unsplash.com/photo-1579684389782-64d84b5e901a?q=80&w=600,Laparoscopy Center;ICU;Emergency Unit;Diagnostic Lab,Dr. Mazumder - Surgeon (Mon-Thu 5PM);Dr. Begum - General Practice (Daily 10AM)
Delta Health Care Chittagong,Chattogram,01814778899,https://images.unsplash.com/photo-1516549655169-df83a0774514?q=80&w=600,Oncology Unit;Chemotherapy;Emergency;Pathology;Ambulance,Dr. Islam - Cancer Specialist (Sat-Wed 4PM);Dr. Ara - Gynecology (Sun-Tue 11AM)
Sensiv Private Limited,Chattogram,01819556677,https://images.unsplash.com/photo-1632833239869-a37e31580662?q=80&w=600,Diagnostic Imaging;Specialist Chambers;EGC;24/7 Pharmacy,Dr. Roy - Neuromedicine (Sun-Wed 7PM);Dr. Haque - Diabetes Expert (Mon-Thu 5PM)
People's Hospital,Chattogram,01819383838,https://images.unsplash.com/photo-1586773860418-d37222d8fce3?q=80&w=600,Maternity Wards;Emergency Clinic;Ultrasonography;X-Ray,Dr. Khan - Pediatrician (Daily 4PM-8PM);Dr. Fatima - Obstetrician (Sat-Tue 10AM)
Noakhali 250 Bed General Hospital,Noakhali,01815987654,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?q=80&w=600,Divisional Government Emergency;ICU;Maternity Ward;X-Ray;Blood Bank,Dr. Islam - General Medicine (Daily 9AM-2PM);Dr. Uddin - General Surgery (Mon-Wed 4PM)
Abdul Malek Ukil Medical College Hospital,Noakhali,01711225588,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=600,Medical College Hospital Wards;Emergency;ICU Center;Pathology Lab,Dr. Rahman - Cardiology (Sat-Tue 10AM);Dr. Sultana - Pediatrics (Sun-Wed 3PM)
Maizdee General Hospital,Noakhali,01819884422,https://images.unsplash.com/photo-1629909613654-28e377c37b09?q=80&w=600,General Practice;Emergency Service;Diagnostic Lab;24/7 Pharmacy,Dr. Anwar - Medicine Expert (Sat-Mon 5PM);Dr. Parveen - Gynae (Sun-Wed 11AM)
Prime Hospital,Noakhali,01814995511,https://images.unsplash.com/photo-1579684389782-64d84b5e901a?q=80&w=600,ICU;NICU;Advanced Laparoscopy;Digital X-Ray;Emergency Unit,Dr. Bhuiyan - Orthopedics (Mon-Thu 4PM);Dr. Sharmin - Pediatrics (Sat-Wed 6PM)
Good Hope Hospital,Noakhali,01819551122,https://images.unsplash.com/photo-1516549655169-df83a0774514?q=80&w=600,Maternity Unit;Emergency OPD;Diagnostic Lab;Ambulance Service,Dr. Latif - General Practitioner (Daily 10AM);Dr. Akter - Gynecology (Sun-Tue 5PM)
Noakhali Care Hospital,Noakhali,01822334455,https://images.unsplash.com/photo-1632833239869-a37e31580662?q=80&w=600,Emergency Medicine;General Surgery Wards;ECG Unit;Pathology,Dr. Karim - General Surgeon (Sat-Wed 3PM);Dr. Begum - Medicine (Mon-Thu 10AM)
Royal Hospital Maizdee,Noakhali,01819773322,https://images.unsplash.com/photo-1586773860418-d37222d8fce3?q=80&w=600,Diagnostic Imaging;Specialist Chamber;Emergency Room;Pharmacy,Dr. Mazumder - Diabetologist (Sun-Tue 6PM);Dr. Haque - ENT Specialist (Mon-Wed 4PM)
Trust One Hospital,Noakhali,01811559988,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?q=80&w=600,Emergency Trauma Care;X-Ray Lab;Ultrasonography;General Ward,Dr. Shaha - Orthopedic Surgeon (Sat-Mon 5PM);Dr. Khatun - Pediatrician (Sun-Wed 11AM)
Popular Medical Center Noakhali,Noakhali,01819228833,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=600,Advanced Pathology;Hormone Assay;Specialist Consultation Rooms,Dr. Dutta - Skin & VD (Mon-Thu 4PM);Dr. Naser - Medicine (Sat-Wed 7PM)
Central Hospital Noakhali,Noakhali,01814667788,https://images.unsplash.com/photo-1629909613654-28e377c37b09?q=80&w=600,Maternity Care Unit;NICU;Emergency Service;Ambulance,Dr. Jahan - Gynae Specialist (Daily 5PM-9PM);Dr. Ali - Pediatrics (Sun-Tue 10AM)
Sonapur Hospital,Noakhali,01819445566,https://images.unsplash.com/photo-1579684389782-64d84b5e901a?q=80&w=600,General OPD;Emergency Clinic;24/7 Pharmacy;Diagnostic Lab,Dr. Hossain - Family Physician (Daily 9AM);Dr. Das - General Surgeon (Mon-Wed 3PM)
Chowmuhani General Hospital,Noakhali,01816112233,https://images.unsplash.com/photo-1516549655169-df83a0774514?q=80&w=600,Emergency Unit;Maternity Ward;Diagnostic Lab;X-Ray Facilities,Dr. Talukder - Medicine (Sat-Wed 4PM);Dr. Roy - Gynecology (Sun-Tue 10AM)
Life Line Hospital,Noakhali,01819334466,https://images.unsplash.com/photo-1632833239869-a37e31580662?q=80&w=600,Laparoscopy;Emergency Care;ICU Setup;Pathology Diagnostic,Dr. Rashid - General Surgeon (Mon-Thu 5PM);Dr. Fatema - Pediatrician (Sat-Tue 11AM)
Al-Arafah Hospital Noakhali,Noakhali,01815223344,https://images.unsplash.com/photo-1586773860418-d37222d8fce3?q=80&w=600,General Consultation;Emergency Room;Pathology Laboratory;ECG,Dr. Miah - General Medicine (Daily 10AM-2PM);Dr. Yasmin - Gynae (Sun-Wed 4PM)
Imperial Hospital Maizdee,Noakhali,01819001122,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?q=80&w=600,Premium Cabins;Emergency Care;Diagnostic Center;24/7 Service,Dr. Khan - Cardiology Expert (Sat-Mon 4PM);Dr. Ahmed - Skin Specialist (Tue-Thu 11AM)
Begumganj Upazila Health Complex,Noakhali,01812887766,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=600,Government Outdoor;Emergency Care;Maternity Wing;Vaccination,Dr. Uddin - RMO (Daily 8AM-2PM);Dr. Sultana - Assistant Surgeon (Mon-Wed 12PM)
Senbagh Hospital,Noakhali,01813665544,https://images.unsplash.com/photo-1629909613654-28e377c37b09?q=80&w=600,General OPD Wards;Emergency Clinic;Diagnostic Laboratory;Pharmacy,Dr. Islam - Medicine Specialist (Sat-Tue 5PM);Dr. Ara - Gynecologist (Sun-Wed 10AM)
Chatkhil General Hospital,Noakhali,01819554433,https://images.unsplash.com/photo-1579684389782-64d84b5e901a?q=80&w=600,Maternity Clinic;24/7 Emergency;Diagnostic Facility;X-Ray,Dr. Karim - General Surgery (Mon-Thu 3PM);Dr. Begum - Pediatrics (Sat-Wed 11AM)
Companiganj Medical Center,Noakhali,01814665522,https://images.unsplash.com/photo-1516549655169-df83a0774514?q=80&w=600,Emergency Care Unit;Ultrasonography Lab;General Health OPD,Dr. Shaha - Family Medicine (Daily 9AM-1PM);Dr. Hossain - Pediatrician (Sun-Tue 4PM)
Haimchar Hospital,Noakhali,01819221100,https://images.unsplash.com/photo-1632833239869-a37e31580662?q=80&w=600,Primary Health Services;Emergency Clinic;Pharmacy;Diagnostic Room,Dr. Ray - General Physician (Sat-Wed 10AM);Dr. Das - Gynecologist (Mon-Thu 3PM)
Rajshahi Medical College Hospital,Rajshahi,01712556677,https://images.unsplash.com/photo-1586773860418-d37222d8fce3?q=80&w=600,Divisional Top Government Emergency;ICU;CCU;Neuro Ward;Blood Bank,Dr. Saha - Gastroenterology (Mon-Thu 11AM);Dr. Ali - Urology (Tue-Fri 4PM);Dr. Tiwari - Surgery (Daily 9AM)
Rajshahi Christian Mission Hospital,Rajshahi,01711445588,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?q=80&w=600,General Medicine Wards;Maternity Care;Emergency Unit;Eye Clinic,Dr. Hembrom - Medicine Specialist (Sat-Wed 9AM);Dr. Sarkar - Eye Care (Sun-Tue 3PM)
Islami Bank Medical College Hospital,Rajshahi,01716443322,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=600,Medical College ICU;NICU;Emergency Room;Modern Diagnostic Laboratory,Dr. Pramanik - Cardiology (Sat-Mon 10AM);Dr. Khatun - Gynecology (Sun-Wed 4PM)
Popular Diagnostic & Hospital Rajshahi,Rajshahi,01711998877,https://images.unsplash.com/photo-1629909613654-28e377c37b09?q=80&w=600,Advanced Radiology;MRI 3T;CT Scan 128 Slice;Specialist Chambers,Dr. Ghosh - Neuromedicine (Sun-Wed 5PM);Dr. Zaman - Endocrinologist (Mon-Thu 6PM)
Labaid Hospital Rajshahi,Rajshahi,01713377554,https://images.unsplash.com/photo-1579684389782-64d84b5e901a?q=80&w=600,Cardiac Diagnostics;ICU Facility;Emergency Trauma;Premium Cabins,Dr. Chowdhury - Cardiology (Sat-Wed 4PM);Dr. Akter - Pediatrics (Sun-Tue 11AM)
Zaman Diagnostic & Hospital,Rajshahi,01711228844,https://images.unsplash.com/photo-1516549655169-df83a0774514?q=80&w=600,General Surgery Unit;Emergency Care;Diagnostic Wing;24/7 Pharmacy,Dr. Zaman - General Surgeon (Mon-Thu 5PM);Dr. Sultana - Gynae Expert (Sat-Wed 10AM)
Rajshahi Royal Hospital,Rajshahi,01715443311,https://images.unsplash.com/photo-1632833239869-a37e31580662?q=80&w=600,Emergency Service;ICU setup;Laparoscopy Unit;Ultrasonography Lab,Dr. Haque - Urology Surgeon (Sat-Mon 6PM);Dr. Begum - General Medicine (Sun-Wed 11AM)
Medipath Diagnostic & Hospital,Rajshahi,01712665544,https://images.unsplash.com/photo-1586773860418-d37222d8fce3?q=80&w=600,Hormone Testing Lab;Digital X-Ray;Specialist OPD;Emergency Unit,Dr. Alam - Diabetologist (Sun-Tue 5PM);Dr. Karim - Orthopedics (Mon-Wed 4PM)
Central Hospital Rajshahi,Rajshahi,01713114422,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?q=80&w=600,Maternity Block;NICU setup;Emergency Clinic;Ambulance Service,Dr. Jahan - Obstetrician (Daily 6PM-9PM);Dr. Islam - Pediatrician (Sun-Tue 10AM)
Amana Hospital,Rajshahi,01777744332,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=600,Gastro Liver Unit;ICU;Emergency Unit;Diagnostic Pathology Lab,Dr. Tareq - Hepatologist (Sat-Wed 7PM);Dr. Shaha - General Surgeon (Mon-Thu 3PM)
Micro Diagnostic Center,Rajshahi,01711383838,https://images.unsplash.com/photo-1629909613654-28e377c37b09?q=80&w=600,Pathology Lab;Specialist Chambers;ECG Testing;Pharmacy Counters,Dr. Roy - Family Medicine (Daily 10AM-2PM);Dr. Das - Skin Specialist (Sun-Wed 5PM)
Rajshahi Eye Hospital,Rajshahi,01711855442,https://images.unsplash.com/photo-1579684389782-64d84b5e901a?q=80&w=600,Cataract Center;Glaucoma Clinic;Refraction Testing;Eye OPD Wards,Dr. Munir - Eye Surgeon (Mon-Thu 9AM);Dr. Farook - Retina Expert (Sat-Wed 4PM)
Galaxy Hospital Rajshahi,Rajshahi,01714556633,https://images.unsplash.com/photo-1516549655169-df83a0774514?q=80&w=600,Laparoscopic OT;Emergency Care Room;General Cabin Block;Diagnostics,Dr. Mazumder - Surgeon (Sat-Tue 5PM);Dr. Fatema - Gynae Specialist (Sun-Wed 11AM)
Anura Hospital,Rajshahi,01712224466,https://images.unsplash.com/photo-1632833239869-a37e31580662?q=80&w=600,General Practice OPD;Emergency Care;Ultrasonography;ECG Machine,Dr. Ali - General Practitioner (Daily 9AM-1PM);Dr. Begum - Pediatrician (Sat-Mon 4PM)
